,ID,DOI,DOI_API,DOI_retry_API,complete,csv_post_title,title_API,title_retry_API,good_list
1765,1855,10.1002/art.39515,None,,"ridley a, hatano h, wong-baeza, shaw j, matthews kk, al-mossawi h, ladell k, price da, bowness p, kollnberger s.. activation-induced kir3dl2 binding to hla-b27 licenses pathogenic t cell differentiation in spondyloarthritis.   apr;68(4):901-14. doi: 10.1002/art.39515..",activation-induced kir3dl2 binding to hla-b27 licenses pathogenic t cell differentiation in spondyloarthritis,,,False
1766,2297,10.1038/ncomms13357,None,,"ried js, jeff mj, chu ay, bragg-gresham jl, van dongen j, huffman je. a principal component meta-analysis on multiple anthropometric traits identifies novel loci for body shape.   nov 23;7:13357. doi: 10.1038/ncomms13357.",a principal component meta-analysis on multiple anthropometric traits identifies novel loci for body shape,,,False
1767,1288,,None,,"riefflin a, ayyagari u, manley se, holman rr, levy jc. the effect of glibenclamide on insulin secretion at normal glucose concentrations.   jan;58(1):43-9.",the effect of glibenclamide on insulin secretion at normal glucose concentrations,,,False
1768,1096,10.1038/ng.3036,None,,"rimmer a, phan h, mathieson i, iqbal z, twigg sr, wgs500 consortium, wilkie ao, mcvean g, lunter g. integrating mapping-, assembly- and haplotype-based approaches for calling variants in clinical sequencing applications.   aug;46(8):912-8 . doi: 10.1038/ng.3036. epub ahead of print jul 13.","integrating mapping-, assembly- and haplotype-based approaches for calling variants in clinical sequencing applications",,,False
1769,1368,10.1016/j.bbmt.2014.11.009,None,,"rio b, chevret s, vigouroux s, chevallier p, fã•_rst s, sirvent a, bay jo, sociå½ g, ceballos p, huynh a, cornillon j, franã•_oise s, legrand f, yakoub-agha i, michel g, maillard n, margueritte g, maury s, uzunov m, bulabois ce, michallet m, clement l, dauriac c, bilger k, gluckman e, ruggeri a, buzyn a, nguyen s, simon t, milpied n, rocha v, furst s, socie g. decreased nonrelapse mortality after unrelated cord blood transplantation for acute myeloid leukemia using reduced-intensity conditioning: a prospective phase ii multicenter trial.   mar;21(3):445-53. doi 10.1016/j.bbmt.2014.11.009.",decreased nonrelapse mortality after unrelated cord blood transplantation for acute myeloid leukemia using reduced-intensity conditioning: a prospective phase ii multicenter trial,,,False
1770,683,,None,,"ritchie r, collin jrt, coussios c-c, leslie t. attenuation and defocusing of hifu therapy through peri-nephric fat.   oct. in press.",attenuation and defocusing of hifu therapy through peri-nephric fat,,,False
1771,414,,None,,"robert c, dummer r, gutzmer r, lorigan p, kim kb, nyakas m, arance a, liszkay  g, schadendorf d, cantarini m, spencer s, middleton mr, liszkay g. phase 2 double-blind, randomised study of selumetinib plus dacarbazine versus placebo plus dacarbazine as first-line treatment for braf mutant metastatic melanoma.   apr;14(8):733-40.","phase 2 double-blind, randomised study of selumetinib plus dacarbazine versus placebo plus dacarbazine as first-line treatment for braf mutant metastatic melanoma",,,False
1772,1806,10.1136/annrheumdis-2015-208640,None,,"roberts ar, vecellio m, chen l, ridley a, cortes a, knight jc, bowness p, cohen cj, wordsworth bp.. an ankylosing spondylitis-associated genetic variant in  the il23r-il12rb2 intergenic region modulates enhancer activity and is associated with increased th1-cell differentiation..   feb 25. pii: annrheumdis-2015-208640. doi: 10.1136/annrheumdis-2015-208640. [epub ahead of print].",an ankylosing spondylitis-associated genetic variant in  the il23r-il12rb2 intergenic region modulates enhancer activity and is associated with increased th1-cell differentiation.,,,False
1773,1353,10.1371/journal.pgen.1004914,None,,"roberts he, hurst j, robinson n, brown h, flanagan p, vass l, fidler s, weber j, babiker a, phillips re, mclean ar, frater j; spartac trial investigators.. structured observations reveal slow hiv-1 ctl escape.   feb 6;11(2). doi: 10.1371/journal.pgen.1004914. ecollection 2015.",structured observations reveal slow hiv-1 ctl escape,,,False
1774,772,,None,,"roberts i, alford k, hall g, juban g, richmond h, norton a et al. gata1-mutant clones are frequent and often unsuspected in babies with down syndrome: identification of a population at risk of leukemia.   dec;10:10.",gata1-mutant clones are frequent and often unsuspected in babies with down syndrome: identification of a population at risk of leukemia,,,False
1775,773,,None,,"roberts i, o'connor d, roy a, cowan g, vyas p. the impact of trisomy 21 on foetal haematopoiesis.   dec;51(4):277-81.",the impact of trisomy 21 on foetal haematopoiesis,,,False
1776,2319,,None,,"robey, r. c., drysdale, s. b., kelly, d. f., bowler, i. c., & sadarangani, m. (2017). age-specific trends in antibiotic resistance in escherichia coli infections in oxford, united kingdom 2013–2014. journal of infection, 74(2), 195-198.",age-specific trends in antibiotic resistance in escherichia coli infections in oxford,,,False
1777,1222,10.1016/j.bbmt.2014.06.011,None,,"robin m, giannotti f, deconinck e, mohty m, michallet m, sanz g, chevallier p, cahn jy, legrand f, rovira m, passweg j, sierra j, nguyen s, maillard n, yakoub-agha i, linkesch w, cannell p, marcatti m, bay jo, chalandon y, krã•_ger n, gluckman e, rocha v, olavarria e, ruggeri a. unrelated cord blood transplantation for patients with primary or secondary myelofibrosis.   nov;20(11):1841-6. doi 10.1016/j.bbmt.2014.06.011.",unrelated cord blood transplantation for patients with primary or secondary myelofibrosis,,,False
1778,2233,10.1111/anae.13601,None,,"robinson ja, purple rj, cole p, zaiwalla z, wulff k, pattinson kts. sleep disturbance in patients taking opioid medication for chronic back pain.   nov;71:1296-1307. doi:10.1111/anae.13601.",sleep disturbance in patients taking opioid medication for chronic back pain,,,False
1779,1445,10.1136/annrheumdis-2015-207416,None,,"robinson pc, costello me, leo p, bradbury la, hollis k, cortes a, lee s, joo kb, shim sc, weisman m, ward m, zhou x, garchon hj8, chiocchia g, nossent j, lie ba, fã•ã´rre ã•ã‰, tuomilehto j, laiho k, jiang l, liu y, wu x, elewaut d, burgos-vargas r, gensler ls, stebbings s, haroon n, mulero j, fernandez-sueiro jl, gonzalez-gay ma, lopez-larrea c, bowness p, gafney k, gaston js, gladman dd, rahman p, maksymowych wp, xu h, van der horst-bruinsma ie, chou ct, valle-oã•â±ate r, romero-sã•ânchez mc, hansen im, pimentel-santos fm, inman rd, martin j, breban m, evans d, reveille jd, kim th, wordsworth bp, brown ma.. erap2 is associated with ankylosing spondylitis in hla-b27-positive and hla-b27-negative patients.   apr 27. doi: 10.1136/annrheumdis-2015-207416. epub 2015 apr 27..",erap2 is associated with ankylosing spondylitis in hla-b27-positive and hla-b27-negative patients,,,False
1780,579,,None,,"robson md, piechnik sk, tunnicliffe em, neubauer s. t measurements in the human myocardium: the effects of magnetization transfer on the sasha and molli sequences.   jul 15.",t measurements in the human myocardium: the effects of magnetization transfer on the sasha and molli sequences,,,False
1781,440,,None,,"rocha v, labopin m, ruggeri a, podesta m, gallamini a, bonifazi f et al. unrelated cord blood transplantation: outcomes after single-unit intrabone injection compared with double-unit intravenous injection in patients with hematological malignancies.   may;95(10):1284-91.",unrelated cord blood transplantation: outcomes after single-unit intrabone injection compared with double-unit intravenous injection in patients with hematological malignancies,,,False
1782,844,10.3109/07420528.2013.843542,None,,"rock p, goodwin g, harmer c, wulff k. daily rest-activity patterns in the bipolar phenotype: a controlled actigraphy study.   mar;31(2):290-296. doi: 10.3109/07420528.2013.843542.",daily rest-activity patterns in the bipolar phenotype: a controlled actigraphy study,,,False
1783,1844,10.1177/0269881115626336,None,,"rock pl, goodwin gm, wulff k, mctavish sf, harmer cj. effects of short-term quetiapine treatment on emotional processing, sleep and circadian rhythms..   mar;30(3):273-82. doi: 10.1177/0269881115626336. epub 2016 feb 11..","effects of short-term quetiapine treatment on emotional processing, sleep and circadian rhythms.",,,False
1784,1088,,None,,"rodgers ct, clarke wt, snyder c, vaughan jt, neubauer s, robson md. human cardiac 31p magnetic resonance spectroscopy at 7 tesla.   aug;72(2):304-15.",human cardiac 31p magnetic resonance spectroscopy at 7 tesla,,,False
1785,697,10.1016/j.vaccine.2013.08.009,None,,"rodgers gl, esposito s, principi n, gutierrez-brito m, diez-domingo j, pollard aj, snape md, martinã•_n-torres f, gruber wc, patterson s, thompson a, gurtman a, paradiso p, scott da. immune response to 13-valent pneumococcal conjugate vaccine with a reduced dosing schedule.   oct;31(42):4765-74. doi: 10.1016/j.vaccine.2013.08.009. epub 2013 aug 16.",immune response to 13-valent pneumococcal conjugate vaccine with a reduced dosing schedule,,,False
1786,584,,None,,"rodrigues ca, rocha v, dreger p, brunstein cg, sengeloev h, finke j et al. alternative donor hematopoietic stem cell transplantation for mature lymphoid malignancies after reduced-intensity conditioning regimen: similar outcomes with umbilical cord blood and unrelated donor peripheral blood.   aug;9:9.",alternative donor hematopoietic stem cell transplantation for mature lymphoid malignancies after reduced-intensity conditioning regimen: similar outcomes with umbilical cord blood and unrelated donor peripheral blood,,,False
1787,57,10.1371/journal.pone.0038434,None,,"roestenberg m, o'hara ga, duncan cj, epstein je, edwards nj, scholzen a, van der ven aj, hermsen cc, hill av, sauerwein rw. comparison of clinical and parasitological data from controlled human malaria infection trials.   jun;7(6):e38434. doi: 10.1371/journal.pone.0038434. epub 2012 jun 11.",comparison of clinical and parasitological data from controlled human malaria infection trials,,,False
1788,955,,None,,"rogers a, nesbit ma, hannan fm, howles sa, gorvin cm, cranston t, allgrove j, bevan js, bano g, brain c, datta v, grossman ab, hodgson sv, izatt l, millar-jones l, pearce sh, robertson l, selby pl, shine b, snape k, warner j, thakker rv. mutational analysis of the adaptor protein 2 sigma subunit (ap2s1) gene: search for autosomal dominant hypocalcemia type 3 (adh3).   apr 7. epub ahead of print.",mutational analysis of the adaptor protein 2 sigma subunit (ap2s1) gene: search for autosomal dominant hypocalcemia type 3 (adh3),,,False
1789,631,,None,,"rohrbacher h, blackwell se, holmes ea, reinecke a. optimizing the ingredients for imagery-based interpretation bias modification for depressed mood: is self-generation more effective than imagination alone?.   sep. [epub ahead of print].",optimizing the ingredients for imagery-based interpretation bias modification for depressed mood: is self-generation more effective than imagination alone?,,,False
1790,755,,10.1002/mds.25441,,"rolinski m, ben-shlomo y, szewczyk-krolikowski k, tomlinson p, nithi k, murray c, talbot k, hu mt, ben-shlomo y. rem sleep behavior disorder is associated with worse non-motor characteristics in an early parkinson' s disease cohort.   nov.",rem sleep behavior disorder is associated with worse non-motor characteristics in an early parkinson's disease cohort,Plasma urate in REM sleep behavior disorder,,False
1791,1826,10.1016/j.nicl.2015.04.003,10.1002/hbm.23299,,"rolinski m, griffanti l, szewczyk-krolikowski k, menke r, wilcock g, filippini n, zamboni g, hu mt, mackay ce. aberrant functional connectivity within the basal ganglia of patients with parkinson' s disease.   apr 9;8:126-32. doi: 10.1016/j.nicl.2015.04.003. ecollection 2015.",aberrant functional connectivity within the basal ganglia of patients with parkinson's disease,Longitudinal changes in functional connectivity of cortico-basal ganglia networks in manifests and premanifest huntington's disease,,False
1793,1300,10.1517/14712598.2015.983897,None,,"rollier cs, dold c, marsay l, sadarangani m, pollard aj. the capsular group b meningococcal vaccine, 4cmenb : clinical experience and potential efficacy.   jan;15(1):131-42. doi: 10.1517/14712598.2015.983897.","the capsular group b meningococcal vaccine, 4cmenb : clinical experience and potential efficacy",,,False
1794,1618,10.1080/19420862.2015.1100787,None,,"roncador g, engel p, maestre l, anderson ap, cordell jl, cragg ms, â_erbec v""”ã”, jones m, lisnic vj, kremer l, li d, koch-nolte f, pascual n, rodrã•_guez-barbosa j, torensma r, turley h, pulford k, banham ah. the european antibody network' s practical guide to finding and validating suitable antibodies for research.   jan 2;8(1):27-36. doi: 10.1080/19420862.2015.1100787. epub 2015 sep 29..",the european antibody network's practical guide to finding and validating suitable antibodies for research,,,False
1795,258,,None,,"roos-weil d, dietrich s, boumendil a, polge e, bron d, carreras e et al. stem cell transplantation can provide durable disease control in blastic plasmacytoid dendritic cell neoplasm: a retrospective study from the european group for blood and marrow transplantation.   jan;121(3):440-6.",stem cell transplantation can provide durable disease control in blastic plasmacytoid dendritic cell neoplasm: a retrospective study from the european group for blood and marrow transplantation,,,False
1796,339,,None,,"rosenthal cr, ng tw, kennard c. generalisation of new sequence knowledge depends on response modality.   feb;8(2):e53990.",generalisation of new sequence knowledge depends on response modality,,,False
1825,1239,,10.3724/sp.j.1206.2010.00393,10.1093/brain/awu308,"ryan bj, crabtree mj, channon km, wade-martins r. parkinson' s disease in gtp cyclohydrolase 1 mutation carriers.   nov 14.",parkinson's disease in gtp cyclohydrolase 1 mutation carriers,DJ-1 and Parkinson′s Disease*,Parkinson’s disease in GTP cyclohydrolase 1 mutation carriers,False
1832,673,,None,10.1016/j.jalz.2013.04.043,"sabater-lleal m, huang j, chasman d, naitza s, dehghan a, johnson ad et al. multiethnic meta-analysis of genome-wide association studies in >100 000 subjects identifies 23 fibrinogen-associated loci but no strong evidence of a causal association between circulating fibrinogen and cardiovascular disease.   sep 17;128(12):1310-24.",multiethnic meta-analysis of genome-wide association studies in >100 000 subjects identifies 23 fibrinogen-associated loci but no strong evidence of a causal association between circulating fibrinogen and cardiovascular disease,,Analysis of loci from genome-wide association studies of many complex traits for association with late-onset Alzheimer's disease (LOAD) identifies potentially pleiotropic variants,False
1839,2198,,10.1111/j.1553-2712.2011.01190.x,10.2139/ssrn.2373935,"sahan km, channon km, choudhury rp, kharbanda rk, lee r, sheehan m. refining the enrolment process in emergency medicine research.   apr;4(1):506-510.",refining the enrolment process in emergency medicine research,Emergency Medicine Research: To Infinity and Beyond!,"Mirror Up to KM Paradoxes and Strategy Paradoxes: An Exploratory Account (Extending and Refining the Theory Based Framework of Schultze and Stabell: Discourses, Contradictions in KM Research)",False
1870,223,,10.1002/eji.201444830,10.1016/s0168-8278(12)60059-2,"schmidt j, iversen akn, tenzer s, gostick e, price da, lohmann v, distler u, bowness p, schild h, blum he,  klenerman p, neumann-haefelin c, thimme r. rapid antigen processing.   nov.",rapid antigen processing,Polyubiquitination of lysine-48 is an essential but indirect signal for MHC class I antigen processing,45 RAPID AND EFFICIENT ANTIGEN PROCESSING AND PRESENTATION OF A PROTECTIVE AND IMMUNODOMINANT HLA-B*27-RESTRICTED HEPATITIS C VIRUS-SPECIFIC CD8+ T CELL EPITOPE,False
1890,1611,,10.1002/jmri.25998,10.1016/j.yebeh.2018.03.016,"sen a, selway r and nashe l. from channels to commissioning  -  a practical guide to epilepsy.   sep. in: rugg-gunn fj, smalls je, editors.",from channels to commissioning  -  a practical guide to epilepsy,Practical guide to dynamic pelvic floor MRI,Bitemporal seizure spread and its effect on autonomic dysfunction,False
1966,1612,,10.1111/epi.12000,10.14581/jer.17012,"sommerville er, michell aw, gabapenti sen a. the treatment of epilepsy.   sep. in: shorvon sd, perucca e, and engel j, editors. 4th ed. wiley.",the treatment of epilepsy,Novel approaches to epilepsy treatment,Cannabinoids in the Treatment of Epilepsy: Hard Evidence at Last?,False
1990,914,,10.1002/cncr.27379,10.1093/jnci/dju007,"stattin p, carlsson s, holmstrã•_m b, vickers a, hugosson j, lilja h, jonsson h. prostate cancer mortality in areas with high and low prostate cancer incidence.   mar 1;106(dju007). [epub 2014 mar 7].",prostate cancer mortality in areas with high and low prostate cancer incidence.,Explaining racial differences in prostate cancer mortality,Prostate Cancer Mortality in Areas With High and Low Prostate Cancer Incidence,False
2023,1500,10.1016/j.urolonc.2014.08.007,10.1002/pros.22831,10.1016/s1569-9056(14)60630-8,"surcel ci, van oort im, sooriakumaran p, briganti a, de visschere pj, fã•_tterer jj, ghadjar p, isbarn h, ost p, van den bergh rc, yossepowitch o, giannarini g, ploussard g; members of the prostate cancer working group of the young academic urologists working party of the european association of urology. prognostic effect of neuroendocrine differentiation in prostate cancer: a critical review.   jun;33(6):265.e1-7. doi: 10.1016/j.urolonc.2014.08.007. epub 2014 sep 17..",prognostic effect of neuroendocrine differentiation in prostate cancer: a critical review,Utility of FDG-PET in clinical neuroendocrine prostate cancer,640 Current trends in management of high-risk prostate cancer in Europe: Results of a web-based survey by the Prostate Cancer Working Group of the Young Academic Urologists Working Party of the European Association of Urology,False
2105,1870,10.1016/j.jcmg.2015.11.008,10.1002/ar.23915,10.1136/heartjnl-2015-307845.29,"treibel ta, fontana m, maestrini v, castelletti s, rosmini s, simpson j et al. automatic measurement of the myocardial interstitium: synthetic extracellular volume quantification without hematocrit sampling.   jan;9(1):54-63. doi: 10.1016/j.jcmg.2015.11.008..",automatic measurement of the myocardial interstitium: synthetic extracellular volume quantification without hematocrit sampling,Development of the Myocardial Interstitium,29 Synthetic ECV – simplifying ECV quantification by deriving haematocrit from T1 blood,False
2121,1781,10.1183/13993003.congress-2015.pa2413,10.1111/resp.13144,10.1136/thoraxjnl-2015-207770.35,"turnbull cd, bratton dj, craig se, kohler m, stradling jr. in patients with minimally symptomatic osa can baseline characteristics and early patterns of cpap usage predict those who are likely to be longer-term users of cpap.   feb;8(2):276-281. doi:10.3978/j.issn.2072-1439.2016.01.54.",in patients with minimally symptomatic osa can baseline characteristics and early patterns of cpap usage predict those who are likely to be longer-term users of cpap,Treating OSA: Current and emerging therapies beyond CPAP,S29 Predictors of continuous positive airways pressure usage at six months in minimally symptomatic patients. Further data from the MOSAIC trial: Abstract S29 Table 1,False
2122,1169,,10.1002/eat.22523,10.1136/thoraxjnl-2013-204826,"turnbull cd, craig se, kohler m, nicoll d, stradling j. cardiovascular event rates in the mosaic trial: 2-year follow-up data.   oct;69(10):950.",cardiovascular event rates in the mosaic trial: 2-year follow-up data,Two-year follow-up of the MOSAIC trial: A multicenter randomized controlled trial comparing two psychological treatments in adult outpatients with broadly defined anorexia nervosa,Cardiovascular event rates in the MOSAIC trial: 2-year follow-up data: Table 1,False
2155,819,,10.1111/j.1460-9568.2012.08086.x,10.1371/journal.pone.0086496,"van hartevelt tj, cabral j, deco g, mã•ã´ller a, green al, aziz tz, kringelbach ml. neural plasticity in human brain connectivity: the effects of long term deep brain stimulation of the subthalamic nucleus in parkinson' s disease.   jan.",neural plasticity in human brain connectivity: the effects of long term deep brain stimulation of the subthalamic nucleus in parkinson's disease,Spatiotemporal visualization of deep brain stimulation-induced effects in the subthalamic nucleus,Neural Plasticity in Human Brain Connectivity: The Effects of Long Term Deep Brain Stimulation of the Subthalamic Nucleus in Parkinson’s Disease,False
2162,208,,10.1111/j.1464-5491.2011.03257.x,10.1038/oby.2012.64,"vasan sk, fall t, neville mj, antonisamy b, fall ch, geethanjali fs, gu hf, raghupathy p, samuel p, thomas n, brismar k, ingelsson e, karpe f. associations of variants in fto and near mc4r with obesity traits in south asian indians.   nov;20(11):2268-77.",associations of variants in fto and near mc4r with obesity traits in south asian indians,An FTO variant is associated with Type 2 diabetes in South Asian populations after accounting for body mass index and waist circumference,Associations of Variants inFTOand NearMC4RWith Obesity Traits in South Asian Indians,False
2181,901,10.1117/12.2038377,10.1002/jso.23946,10.1186/s13104-015-1576-z,"volpi d, tullis idc, laios a, pathiraja pnj, haldar k, ahmed aa, vojnovic d. a novel multiwavelength fluorescence image-guided surgery imaging system.  from conference volume 8935  feb 27. doi:10.1117/12.2038377; http://dx.doi.org/10.1117/12.2038377 .",a novel multiwavelength fluorescence image-guided surgery imaging system,A ratiometric threshold for determining presence of cancer during fluorescence-guided surgery,A prospective pilot study of detection of sentinel lymph nodes in gynaecological cancers using a novel near infrared fluorescence imaging system,False
2230,2140,10.1016/B978-0-444-63432-0.00009-8,10.3724/sp.j.1206.2012.00010,10.1016/s0140-6736(14)60374-3,"waters p, pettingill p, lang b. detection methods for neural autoantibodies..   sep(133):147-63. doi: 10.1016/b978-0-444-63432-0.00009-8..",detection methods for neural autoantibodies.,Methods for Autophagy Detection*,Autoantibodies to the N-methyl-D-aspartate receptor and seizure susceptibility in mice,False
2241,171,,None,10.1161/strokeaha.112.655837,"webb aj, simoni m, mazzucco s, kuker w, schulz u, rothwell pm. increased cerebral arterial pulsatility in patients with leukoaraiosis: arterial stiffness enhances transmission of aortic pulsatility.   oct;43(10):2631-6.",increased cerebral arterial pulsatility in patients with leukoaraiosis: arterial stiffness enhances transmission of aortic pulsatility,,Increased Cerebral Arterial Pulsatility in Patients With Leukoaraiosis,False
2257,610,,10.1002/path.4094,,"whiffin n, dobbins se, hosking fj, palles c, tenesa a, wang y, farrington sm, jones am, broderick p, campbell h, newcomb pa, casey g, conti dv, schumacher f, gallinger s, lindor nm, hopper j, jenkins m, dunlop mg, tomlinson ip, houlston rs. deciphering the genetic architecture of low-penetrance susceptibility to colorectal cancer.   aug 7. epub ahead of print.",deciphering the genetic architecture of low-penetrance susceptibility to colorectal cancer,Deciphering the epigenetic network in colorectal cancer,,False
2287,2293,,None,10.1212/wnl.0000000000003183,"wilson, d., charidimou, a., ambler, g., fox, z. v., gregoire, s., rayson, p., ... & veltkamp, r. (2016). recurrent stroke risk and cerebral microbleed burden in ischemic stroke and tia a meta-analysis. neurology, 87(14), 1501-1510.",recurrent stroke risk and cerebral microbleed burden in ischemic stroke and tia: a meta-analysis,,Recurrent stroke risk and cerebral microbleed burden in ischemic stroke and TIA,False
2288,1669,10.1371/journal.pgen.1005378,None,10.1371/journal.pone.0132846,"winkler tw, justice ae, graff m, barata l, feitosa mf, chu s et al. the influence of age and sex on genetic associations with adult body size and shape: a large-scale genome-wide interaction study.   oct;11(10):e1005378. doi: 10.1371/journal.pgen.1005378. ecollection 2015.",the influence of age and sex on genetic associations with adult body size and shape: a large-scale genome-wide interaction study,,Genome-Wide Association Study on Male Genital Shape and Size in Drosophila melanogaster,False
2290,1021,,None,10.1016/j.ccr.2014.03.036,"woll ps, kjã•_llquist u, chowdhury o, doolittle h, wedge dc, thongjuea s, erlandsson r, ngara m, anderson k, deng q, mead aj, stenson l, giustacchini a, duarte s, giannoulatou e, taylor s, karimi m, scharenberg c, mortera-blanco t, macaulay ic, clark sa, dybedal i, josefsen d, fenaux p, hokland p, holm ms, cazzola m, malcovati l, tauro s, bowen d, boultwood j, pellagatti a, pimanda je, unnikrishnan a, vyas p, gã•_hring g, schlegelberger b, tobiasson m, kvalheim g, constantinescu sn, nerlov c, nilsson l, campbell pj, sandberg r, papaemmanuil e, hellstrã•_m-lindberg e, linnarsson s, jacobsen se. myelodysplastic syndromes are propagated by rare and distinct human cancer stem cells in vivo.   jun;25(6):794-808.",myelodysplastic syndromes are propagated by rare and distinct human cancer stem cells in vivo,,Myelodysplastic Syndromes Are Propagated by Rare and Distinct Human Cancer Stem Cells In Vivo,False
2297,557,,None,10.1038/leu.2013.276,"wong kk, gascoyne dm, brown pj, soilleux ej, snell c, chen h et al. reciprocal expression of the endocytic protein hip1r and its repressor foxp1 predicts outcome in r-chop-treated diffuse large b-cell lymphoma patients.   jul;25(10):224.",reciprocal expression of the endocytic protein hip1r and its repressor foxp1 predicts outcome in r-chop-treated diffuse large b-cell lymphoma patients,,Erratum: Reciprocal expression of the endocytic protein HIP1R and its repressor FOXP1 predicts outcome in R-CHOP-treated diffuse large B-cell lymphoma patients,False
2301,1231,10.1038/ng.3097,None,10.1038/nprot.2014.071,"wood ar, esko t, yang j, vedantam s, pers th, gustafsson s, chu ay, estrada k, luan j, kutalik z, amin n, buchkovich ml, croteau-chonka dc, day fr, duan y, fall t, fehrmann r, ferreira t, jackson au, karjalainen j, lo ks, locke ae, mã•_gi r, mihailov e, porcu e, randall jc, scherag a, vinkhuyzen aa, westra hj, winkler tw, workalemahu t, zhao jh, magi r et al. defining the role of common variation in the genomic and biological architecture of adult human height.   nov 2;46(11):1173-86. doi: 10.1038/ng.3097 epub 2014 oct 5.",defining the role of common variation in the genomic and biological architecture of adult human height,,Quality control and conduct of genome-wide association meta-analyses,False
2305,101,,None,10.1037/a0024992,"woud ml, holmes ea, postma p, dalgleish t, mackintosh b. ameliorating intrusive memories of distressing experiences using computerized reappraisal training.   aug;12(4):778-84.",ameliorating intrusive memories of distressing experiences using computerized reappraisal training,,Ameliorating intrusive memories of distressing experiences using computerized reappraisal training.,False
2306,625,,None,10.1016/j.jbtep.2013.01.003,"woud ml, holmes ea, postma p, dalgleish t, mackintosh b. reducing analogue trauma symptoms by computerized reappraisal training  -  considering a cognitive prophylaxis?.   sep 12;4:778.",reducing analogue trauma symptoms by computerized reappraisal training  -  considering a cognitive prophylaxis?,,Reducing analogue trauma symptoms by computerized reappraisal training – Considering a cognitive prophylaxis?,False
2348,637,,10.1111/bdi.12047,10.1016/j.biopsych.2013.04.015,"zamboni g, wilcock gk, douaud g, drazich e, mcculloch e, filippini n, tracey i, brooks jc, smith sm, jenkinson m, mackay ce. resting functional connectivity reveals residual functional activity in alzheimer' s disease.   sep 1;74(5):375-83.",resting functional connectivity reveals residual functional activity in alzheimer's disease,Differences in resting corticolimbic functional connectivity in bipolar I euthymia,Resting Functional Connectivity Reveals Residual Functional Activity in Alzheimer’s Disease,False
