ID,FinalDOI,Themes
1051,10.1002/14651858.cd009532.pub2,Blood
1052,10.1038/bmt.2014.72,Blood
1053,10.1093/brain/awu126,Functional Neurosciences and Imaging
1054,10.1136/jnnp-2013-305340,Functional Neurosciences and Imaging
1055,10.1111/ajt.12737,Transplantation
1057,10.3399/bjgp14x680473,Biomedical Informatics and Technology
1058,10.1097/inf.0000000000000327,Vaccines
1059,10.1016/j.it.2014.04.005,Vaccines
1060,10.1162/jocn_a_00577,Cognitive Health
1061,10.1007/s00125-014-3320-y,Diabetes
1062,10.1080/09674845.2014.11978288,Diabetes
1063,10.1016/j.tem.2014.05.001,Diabetes
1064,10.1186/1471-2407-14-497,Cancer
1065,10.1212/nxi.0000000000000016,Immunity and Inflammation
1066,10.1364/oe.22.017030,Translational Physiology
1067,10.1136/gutjnl-2013-306287,Immunity and Inflammation
1068,10.1097/mej.0000000000000166,Biomedical Informatics and Technology
1069,10.1126/science.1254031,Immunity and Inflammation
1070,10.1093/hmg/ddu360,Diabetes
1071,10.1016/j.jclinepi.2014.05.011,Genomic Medicine
1072,10.1371/journal.pone.0101672,Vaccines
1073,10.1212/wnl.0000000000001199,Cognitive Health
1074,10.1016/j.neuroimage.2014.03.034,Cognitive Health
1075,10.1016/j.neuroimage.2013.12.026,Cognitive Health
1076,10.1056/nejmoa1400376,Molecular Diagnostics
1077,10.1212/wnl.0000000000000621,Dementia and Cerebrovascular Disease
1078,10.1016/j.rbmo.2014.07.007,Genomic Medicine
1079,10.1002/hep.27259,Vaccines
1080,10.1371/journal.pgen.1004494,Genomic Medicine
1081,10.1371/journal.pgen.1004469,Dementia and Cerebrovascular Disease
1082,10.1007/s11605-014-2524-2,Cancer
1083,10.1007/s00125-014-3266-0,Diabetes
1084,10.1074/jbc.m114.576512,Cancer
1085,10.1371/journal.pgen.1004517,Diabetes
1086,10.1111/bju.12903,Other BRC Funded Work
1087,10.1007/s00109-014-1194-6,Cardiovascular
1088,10.1002/mrm.24922,Cardiovascular
1089,10.1056/nejmra1313875,Prevention and Population Care
1090,10.1002/ana.24200,Immunity and Inflammation
1091,10.1073/pnas.1402351111,Blood
1092,10.1093/eurheartj/eht434,Translational Physiology
1093,10.1016/j.neuroimage.2014.03.056,Functional Neurosciences and Imaging
1094,10.1200/jco.2013.49.8717,Cancer
1095,10.1016/j.yebeh.2014.06.003,Functional Neurosciences and Imaging
1096,10.1038/ng.3036,Genomic Medicine
1097,10.1136/jmedgenet-2014-102497,Genomic Medicine
1098,10.1210/jc.2014-1270,Genomic Medicine
1099,10.1093/jmp/jhu020,Ethics
1100,10.1371/journal.pmed.1001699,Prevention and Population Care
1101,10.1093/cercor/bht082,Cognitive Health
1103,10.1093/brain/awu143,Functional Neurosciences and Imaging
1104,10.1167/iovs.14-14054,Translational Physiology
1105,10.1002/ijc.29118,Cancer
1106,10.1158/1078-0432.ccr-14-0341,Cancer
1107,10.1016/j.cub.2014.06.022,Functional Neurosciences and Imaging
1108,10.1371/journal.pone.0102645,"Diabetes, Genomic Medicine"
1109,10.1523/jneurosci.1065-14.2014,Functional Neurosciences and Imaging
1110,10.1093/hmg/ddu150,Genomic Medicine
1111,10.1186/s12968-014-0057-1,"Cardiovascular, Vaccines"
1112,10.1016/s0140-6736(14)60842-4,Vaccines
1113,10.1212/wnl.0000000000000707,Dementia and Cerebrovascular Disease
1114,10.1016/j.jalz.2014.06.006,Dementia and Cerebrovascular Disease
1115,10.1016/j.eururo.2014.08.010,Surgical Innovation and Evaluation
1116,10.1016/j.vaccine.2014.04.022,Ethics
1117,10.1093/brain/awu142,Immunity and Inflammation
1118,10.1016/j.immuni.2014.06.016,Immunity and Inflammation
1119,10.1128/CVI.00099-14,Vaccines
1120,10.1161/strokeaha.114.005982,Dementia and Cerebrovascular Disease
1121,10.1016/j.jalz.2014.05.1755,Cognitive Health
1122,10.1212/wnl.0000000000000737,Dementia and Cerebrovascular Disease
1123,10.1038/mt.2014.157,Vaccines
1124,10.3389/fimmu.2014.00400,Immunity and Inflammation
1125,10.1186/s12881-014-0095-4,Genomic Medicine
1126,10.1371/journal.pone.0107105,Cancer
1127,10.1016/j.virol.2014.07.006,Immunity and Inflammation
1128,10.2337/db13-1607,Diabetes
1129,10.1016/j.bcp.2014.09.001,Cancer
1130,10.4049/jimmunol.1302523,Immunity and Inflammation
1131,10.1016/j.jcv.2014.05.018,Immunity and Inflammation
1132,10.1172/jci75051,Immunity and Inflammation
1133,10.1097/spc.0000000000000069,Translational Physiology
1134,10.1016/s2213-8587(14)70113-5,Genomic Medicine
1135,10.1016/j.jcin.2014.04.011,Cardiovascular
1136,10.1111/bpa.12209,Dementia and Cerebrovascular Disease
1137,10.1016/j.eururo.2014.01.003,Surgical Innovation and Evaluation
1138,10.1016/s1470-2045(14)70361-4,Surgical Innovation and Evaluation
1139,10.1016/j.eururo.2013.11.018,Surgical Innovation and Evaluation
1140,10.1002/cyto.b.21165,Immunity and Inflammation
1141,10.1111/ctr.12416,Transplantation
1142,10.1002/nbm.3147,Cardiovascular
1143,10.1049/htl.2014.0077,Biomedical Informatics and Technology
1144,10.1007/s11910-014-0475-3,Cognitive Health
1145,10.1016/j.neuroimage.2014.04.081,Cognitive Health
1146,10.1210/jc.2014-1481,Genomic Medicine
1147,10.1111/hpb.12326,Cancer
1148,10.1016/s2213-8587(14)70174-3,Diabetes
1149,10.1212/wnl.0000000000000774,Cognitive Health
1150,10.1097/qad.0000000000000362,Immunity and Inflammation
1151,10.1016/j.fertnstert.2014.07.1233,Genomic Medicine
1152,10.1016/j.aca.2013.08.051,Surgical Innovation and Evaluation
1153,10.1113/expphysiol.2014.080507,Translational Physiology
1154,10.7554/elife.03821,Immunity and Inflammation
1155,10.1016/j.jneuroim.2014.07.001,Immunity and Inflammation
1156,10.1038/npjpcrm.2014.62,Biomedical Informatics and Technology
1157,10.1186/s13550-014-0051-5,Surgical Innovation and Evaluation
1158,10.1136/jnnp-2014-308736,Immunity and Inflammation
1159,10.1016/j.cub.2014.08.002,Functional Neurosciences and Imaging
1160,10.1161/strokeaha.114.006309,Dementia and Cerebrovascular Disease
1161,10.1136/jnnp-2014-308695,Immunity and Inflammation
1162,10.1002/mrm.25474,Cardiovascular
1163,10.1136/archdischild-2014-306813,Vaccines
1164,10.1371/journal.ppat.1004210,Immunity and Inflammation
1165,10.1111/ijcp.12485,Cardiovascular
1166,10.1111/ijcp.12471,Cardiovascular
1167,10.1016/j.neurobiolaging.2014.04.026,Dementia and Cerebrovascular Disease
1168,10.1111/bjd.13199,Immunity and Inflammation
1169,10.1136/thoraxjnl-2013-204826,Translational Physiology
1170,10.1002/mrm.25015,Cardiovascular
1171,10.1136/jmedgenet-2014-102573,Genomic Medicine
1172,10.1002/cld.642,Vaccines
1173,10.1007/s10198-014-0638-9,Prevention and Population Care
1174,10.1111/trf.12893,Blood
1175,10.1111/tme.12149,Blood
1176,10.1111/trf.12646,Blood
1177,10.1007/s00277-014-2238-2,Cancer
1178,10.1038/ejhg.2014.4,Genomic Medicine
1179,10.1111/trf.12697,Blood
1180,10.1016/j.pain.2014.07.009,Functional Neurosciences and Imaging
1181,10.1093/annonc/mdu054,Cancer
1182,10.1161/strokeaha.114.005592,Dementia and Cerebrovascular Disease
1183,10.1007/s00520-014-2224-1,Biomedical Informatics and Technology
1184,10.1177/1355819614531565,Patient and Public Involvement
1185,10.1136/bjophthalmol-2014-304902,Prevention and Population Care
1186,10.1093/infdis/jiu213,Infection
1187,10.1017/s0033291714001585,Cognitive Health
1188,10.3324/haematol.2014.109306,Genomic Medicine
1189,10.1111/nyas.12545,Cognitive Health
1190,10.1002/hbm.22367,Cognitive Health
1191,10.1016/j.jchf.2014.04.008,Prevention and Population Care
1192,10.1186/1755-7682-7-44,Prevention and Population Care
1193,10.1016/s1473-3099(14)70845-x,Vaccines
1194,10.1016/j.neurobiolaging.2014.04.013,Cognitive Health
1195,10.1158/0008-5472.can-14-0806,Cancer
1196,10.1016/j.ctrv.2014.07.004,Cancer
1197,10.1038/nature13545,Genomic Medicine
1198,10.1161/circulationaha.114.010942,Prevention and Population Care
1199,10.3389/fimmu.2014.00450,Immunity and Inflammation
1200,10.1007/s10554-014-0548-z,Cardiovascular
1201,10.1093/cid/ciu561,Vaccines
1202,10.2174/1573399810666141010113050,Diabetes
1203,10.1212/wnl.0000000000000905,Dementia and Cerebrovascular Disease
1204,10.1093/infdis/jiu579,Vaccines
1205,10.1016/j.ienj.2014.01.001,Vaccines
1206,10.1161/strokeaha.114.006609,Prevention and Population Care
1207,10.1212/wnl.0000000000000942,Dementia and Cerebrovascular Disease
1208,10.1038/ncomms6068,Genomic Medicine
1209,10.1016/s0140-6736(14)60975-2,Dementia and Cerebrovascular Disease
1210,10.1371/journal.pone.0110761,Immunity and Inflammation
1211,10.1016/j.coi.2014.07.001,Immunity and Inflammation
1212,10.1101/cshperspect.a017293,Surgical Innovation and Evaluation
1213,10.1016/j.parkreldis.2014.03.014,Functional Neurosciences and Imaging
1214,10.1111/cen3.12107,Immunity and Inflammation
1215,10.1136/bmj.g6616,Patient and Public Involvement
1216,10.2217/fon.14.222,Cancer
1217,10.2337/db14-0385,"Diabetes, Genomic Medicine"
1218,10.1136/annrheumdis-2014-205643,Immunity and Inflammation
1219,10.1038/onc.2013.460,Cancer
1220,10.1148/radiol.14131717,Cardiovascular
1221,10.1074/mcp.m114.038836,Surgical Innovation and Evaluation
1222,10.1016/j.bbmt.2014.06.011,Blood
1223,10.1016/j.jaci.2014.04.031,Immunity and Inflammation
1224,10.1111/bjh.13007,Molecular Diagnostics
1225,10.1016/j.brat.2014.07.010,Cognitive Health
1226,10.1111/bdi.12206,Cognitive Health
1227,10.1136/jmedgenet-2014-102582,Genomic Medicine
1228,10.1016/j.neuroimage.2014.08.002,Cognitive Health
1229,10.1177/2167702614527433,Cognitive Health
1230,10.1111/imm.12327,Vaccines
1231,10.1038/ng.3097,"Diabetes, Genomic Medicine"
1232,10.3727/096368914x685320,Diabetes
1233,10.1126/scitranslmed.3009185,Immunity and Inflammation
1234,10.1016/j.freeradbiomed.2014.10.575,Cardiovascular
1235,10.1016/j.celrep.2014.09.045,Immunity and Inflammation
1236,10.7554/elife.03706,Immunity and Inflammation
1237,10.3233/jad-141725,Dementia and Cerebrovascular Disease
1238,10.1523/jneurosci.0203-14.2014,Cognitive Health
1239,10.1093/brain/awu308,Cardiovascular
1240,10.1093/cercor/bhu271,Cognitive Health
1241,10.1111/pace.12531,Cardiovascular
1242,10.1038/nature13715,Vaccines
1243,10.1371/journal.pone.0113360,Translational Physiology
1244,10.1128/mbio.02158-14,Infection
1245,10.1016/j.ijcard.2014.09.025,Cardiovascular
1246,10.1111/sji.12237,Immunity and Inflammation
1247,10.1111/cei.12427,Immunity and Inflammation
1248,10.1136/thoraxjnl-2013-204993,Translational Physiology
1249,10.1161/strokeaha.114.007362,Dementia and Cerebrovascular Disease
1250,10.1109/jbhi.2014.2307913,Translational Physiology
1251,10.1186/s12913-014-0552-y,Other BRC Funded Work
1253,10.1186/1471-2407-14-983,"Cancer, Molecular Diagnostics"
1254,10.1016/j.clon.2014.09.009,Cancer
1255,10.2337/db14-0319,Genomic Medicine
1256,10.1007/s10840-014-9943-6,Cardiovascular
1257,10.1002/jcph.437,Cancer
1258,10.1016/j.schres.2014.11.001,Dementia and Cerebrovascular Disease
1259,10.1111/acps.12373,Prevention and Population Care
1260,10.1016/j.eururo.2014.08.011,Surgical Innovation and Evaluation
1261,10.1016/s0140-6736(14)60525-0,Surgical Innovation and Evaluation
1262,10.1016/S0140-6736(14)62007-9,"Cardiovascular, Prevention and Population Care"
1263,10.1093/fampra/cmu054,Prevention and Population Care
1264,10.1038/jcbfm.2014.163,Functional Neurosciences and Imaging
1265,10.1128/aac.03900-14,"Infection, Vaccines"
1266,10.1016/j.jad.2014.08.022,Cognitive Health
1267,10.2196/mhealth.3568,Biomedical Informatics and Technology
1268,10.1152/jn.00051.2014,Cognitive Health
1269,10.1037/a0037801,Cognitive Health
1270,10.1007/s11892-014-0559-0,Diabetes
1271,10.1007/s40279-013-0128-8,Biomedical Informatics and Technology
1272,10.1073/pnas.1410378111,Cognitive Health
1273,10.1371/journal.pone.0114323,Immunity and Inflammation
1274,10.18632/oncotarget.3058,Cancer
1275,10.1093/jnci/dju402,Genomic Medicine
1276,10.1038/ncomms6719,Genomic Medicine
1277,10.1073/pnas.1413339111,Immunity and Inflammation
1278,10.3389/fmicb.2014.00707,Vaccines
1279,10.1016/j.cell.2014.12.001,Immunity and Inflammation
1280,10.1371/journal.pone.0115161,Vaccines
1281,10.1161/hypertensionaha.114.04662,Cardiovascular
1282,10.1016/j.nucmedbio.2014.12.012,Surgical Innovation and Evaluation
1283,10.1056/nejmoa1408617,Genomic Medicine
1284,10.1371/journal.pone.0115713,Vaccines
1285,10.1073/pnas.1413935112,Immunity and Inflammation
1286,10.1016/j.ydbio.2014.12.025,"Cardiovascular, Diabetes"
1287,10.1016/j.eururo.2014.12.006,Surgical Innovation and Evaluation
1288,10.1007/s00125-014-3399-1,Diabetes
1289,10.1111/bpa.12221,Dementia and Cerebrovascular Disease
1290,10.1016/j.jhin.2015.01.005,Infection
1291,10.1080/13825585.2014.894958,Dementia and Cerebrovascular Disease
1292,10.1007/s00429-013-0669-5,Functional Neurosciences and Imaging
1293,10.1186/s12913-014-0673-3,Other BRC Funded Work
1294,10.1093/brain/awu374,Cardiovascular
1295,10.1007/s00395-014-0453-6,Cardiovascular
1296,10.1111/bpa.12220,Dementia and Cerebrovascular Disease
1297,10.1016/j.jval.2014.09.004,Prevention and Population Care
1298,10.1097/md.0000000000000335,Vaccines
1299,10.1002/art.38873,Immunity and Inflammation
1300,10.1517/14712598.2015.983897,Vaccines
1301,10.1136/heartjnl-2014-307227,Prevention and Population Care
1302,10.1136/bmj.h117,Prevention and Population Care
1303,10.4049/jimmunol.1401405,Vaccines
1304,10.1182/blood-2014-10-606491,Blood
1305,10.1039/c4nr01105h,Surgical Innovation and Evaluation
1306,10.1093/jnci/djv095,Surgical Innovation and Evaluation
1307,10.1002/cncr.29029,Surgical Innovation and Evaluation
1308,10.1111/bju.12483,Surgical Innovation and Evaluation
1309,10.1038/ncomms6901,Blood
1310,10.1111/tri.12530,Transplantation
1311,10.3399/bjgp15x683125,Prevention and Population Care
1312,10.3174/ajnr.a4208,Cardiovascular
1313,10.1093/brain/awu328,Functional Neurosciences and Imaging
1314,10.1136/gutjnl-2013-306571,Genomic Medicine
1315,10.1016/j.expneurol.2014.10.017,"Cardiovascular, Translational Physiology"
1316,10.1002/eji.201445016,Immunity and Inflammation
1317,10.1002/eji.201444686,Immunity and Inflammation
1318,10.1016/j.cmet.2014.12.014,Genomic Medicine
1319,10.7554/elife.04605,Functional Neurosciences and Imaging
1320,10.3389/fnhum.2014.01025,Cognitive Health
1321,10.1038/ejhg.2014.296,Immunity and Inflammation
1322,10.1523/jneurosci.3768-14.2015,Functional Neurosciences and Imaging
1324,10.1371/journal.pone.0116160,Diabetes
1325,10.1371/journal.pgen.1004876,"Diabetes, Genomic Medicine"
1327,10.1161/CIRCIMAGING.114.002454,Cardiovascular
1328,10.1136/thoraxjnl-2014-205958,Translational Physiology
1329,10.1378/chest.14-1279,Translational Physiology
1330,10.1038/nrclinonc.2014.199,Cancer
1331,10.1016/j.mcn.2015.02.009,Dementia and Cerebrovascular Disease
1332,10.1016/j.ejca.2014.11.018,Cancer
1333,10.1093/jac/dku383,Prevention and Population Care
1334,10.1371/journal.ppat.1004658,Vaccines
1335,10.1097/qco.0000000000000123,Immunity and Inflammation
1336,10.1016/s1473-3099(14)71057-6,Vaccines
1337,10.1161/strokeaha.114.006849,Dementia and Cerebrovascular Disease
1338,10.1001/jama.2014.18574,Prevention and Population Care
1339,10.1001/jamainternmed.2014.6924,"Cardiovascular, Prevention and Population Care"
1340,10.1016/j.maturitas.2014.11.017,Blood
1341,10.1111/apa.12848,Functional Neurosciences and Imaging
1342,10.1016/j.neuroimage.2014.11.032,Functional Neurosciences and Imaging
1343,10.1136/practneurol-2014-000870,Functional Neurosciences and Imaging
1344,10.1111/bjh.13333,Blood
1345,10.1016/j.jpsychires.2014.11.016,Cognitive Health
1346,10.1016/j.cpr.2014.11.002,Cognitive Health
1347,10.1016/j.virol.2014.12.025,Immunity and Inflammation
1348,10.1053/j.gastro.2014.12.010,Immunity and Inflammation
1349,10.1371/journal.pone.0114286,Vaccines
1350,10.7326/m14-0773,"Cardiovascular, Prevention and Population Care"
1351,10.1016/j.cmet.2015.01.009,Genomic Medicine
1352,10.1212/wnl.0000000000001309,Dementia and Cerebrovascular Disease
1353,10.1371/journal.pgen.1004914,Immunity and Inflammation
1354,10.1002/acn3.175,Functional Neurosciences and Imaging
1355,10.1016/j.juro.2015.05.066,Surgical Innovation and Evaluation
1356,10.1126/scitranslmed.3008438,Functional Neurosciences and Imaging
1357,10.1038/nature14177,Genomic Medicine
1358,10.1038/nature14132,Genomic Medicine
1359,10.1186/s12885-015-1048-9,"Cancer, Molecular Diagnostics"
1360,10.7861/clinmedicine.14-6-78,Infection
1361,10.1093/hmg/ddu510,Genomic Medicine
1362,10.1186/s12967-015-0392-5,Vaccines
1363,10.1111/tri.12541,Diabetes
1364,10.1016/j.jinf.2015.02.006,Vaccines
1365,10.1161/strokeaha.114.007624,Dementia and Cerebrovascular Disease
1366,10.1016/s1473-3099(14)71071-0,Vaccines
1367,10.1016/s2213-2600(15)00037-5,Vaccines
1368,10.1016/j.bbmt.2014.11.009,Blood
1369,10.1097/nen.0000000000000173,Immunity and Inflammation
1370,10.1177/1545968314543652,Functional Neurosciences and Imaging
1371,10.1038/nrd4565,Immunity and Inflammation
1372,10.1111/bjd.13293,Immunity and Inflammation
1373,10.1111/tri.12563,Transplantation
1374,10.1161/circresaha.116.304723,Cardiovascular
1375,10.1016/j.brs.2014.11.003,Functional Neurosciences and Imaging
1376,10.1002/mrm.25200,Cardiovascular
1377,10.1002/mds.26072,Functional Neurosciences and Imaging
1378,10.1080/15265161.2014.999172,Ethics
1379,10.1016/j.resp.2014.12.019,"Cardiovascular, Translational Physiology"
1380,10.1016/j.ccell.2015.02.003,Blood
1381,10.1111/bjh.13379,Blood
1382,10.1016/j.bbmt.2015.03.010,Infection
1383,10.3324/haematol.2014.118075,Blood
1384,10.1016/j.neurobiolaging.2014.12.014,Translational Physiology
1385,10.1128/aac.04292-14,Infection
1386,10.1111/bju.13122,Surgical Innovation and Evaluation
1387,10.1093/hmg/ddu560,Genomic Medicine
1388,10.1136/bmj.h980,Prevention and Population Care
1389,10.1093/trstmh/tru206,Vaccines
1390,10.1080/21645515.2015.1009809,Vaccines
1391,10.1093/cercor/bhv027,Functional Neurosciences and Imaging
1392,10.1038/nn1215-1861d,Functional Neurosciences and Imaging
1393,10.1016/j.neuroimage.2015.02.067,Functional Neurosciences and Imaging
1394,10.1016/j.eururo.2015.03.017,Surgical Innovation and Evaluation
1395,10.1111/ajt.13104,Diabetes
1396,10.1212/wnl.0000000000001370,Immunity and Inflammation
1397,10.1002/jmv.24554,Immunity and Inflammation
1398,10.1038/mi.2014.81,Immunity and Inflammation
1399,10.1039/c5lc00078e,Surgical Innovation and Evaluation
1400,10.1212/wnl.0000000000001326,Immunity and Inflammation
1401,10.1128/cvi.00121-15,Vaccines
1402,10.1136/medethics-2015-102663,Ethics
1403,10.1523/jneurosci.4609-14.2015,Functional Neurosciences and Imaging
1404,10.1111/dme.12647,Diabetes
1405,10.1111/ijs.12484,Prevention and Population Care
1406,10.1523/jneurosci.4517-14.2015,Cognitive Health
1407,10.1111/bju.12796,Surgical Innovation and Evaluation
1409,10.1038/mt.2015.68,Surgical Innovation and Evaluation
1410,10.1016/s1473-3099(15)70007-1,Vaccines
1411,10.1093/jac/dku521,"Infection, Vaccines"
1412,10.1158/1541-7786.mcr-13-0182-t,"Cancer, Surgical Innovation and Evaluation"
1413,10.1038/eye.2014.326,Surgical Innovation and Evaluation
1414,10.1093/trstmh/trv010,Immunity and Inflammation
1415,10.1016/j.jstrokecerebrovasdis.2014.12.004,Prevention and Population Care
1416,10.1136/medethics-2015-102767,Ethics
1417,10.3324/haematol.2014.118158,Molecular Diagnostics
1418,10.1093/jac/dku515,Infection
1419,10.1128/jcm.03073-14,Infection
1420,10.1136/bmjopen-2014-007230,Blood
1421,10.1136/bmjopen-2014-006676,Patient and Public Involvement
1422,10.1192/bjp.bp.114.153536,Cognitive Health
1423,10.1002/mrm.25262,Cardiovascular
1424,10.1007/s00204-015-1504-y,Blood
1425,10.1111/trf.13075,Blood
1426,10.1002/14651858.cd009699.pub2,Blood
1427,10.1038/leu.2015.98,Blood
1428,10.1007/s00737-014-0473-0,Cognitive Health
1429,10.1093/annonc/mdu581,Cancer
1430,10.1093/annonc/mdu449,Cancer
1431,10.1016/j.neuroimage.2015.01.013,Cognitive Health
1432,10.3201/eid2104.141545,Immunity and Inflammation
1433,10.1002/pbc.25385,Prevention and Population Care
1434,10.1371/journal.pgen.1005061,"Blood, Immunity and Inflammation"
1435,10.1371/journal.pone.0119532,Immunity and Inflammation
1436,10.1038/ncomms7691,Molecular Diagnostics
1437,10.2147/ceg.s48305,Immunity and Inflammation
1438,10.1093/hmg/ddv117,Genomic Medicine
1439,10.1371/journal.pone.0119605,Dementia and Cerebrovascular Disease
1440,10.1016/j.chom.2014.03.003,Immunity and Inflammation
1441,10.1371/journal.pntd.0003673,Immunity and Inflammation
1442,10.1136/bmj.h1554,Vaccines
1443,10.1016/j.jinf.2014.09.009,Immunity and Inflammation
1444,10.1093/brain/awv093,Functional Neurosciences and Imaging
1445,10.1136/annrheumdis-2015-207416,Immunity and Inflammation
1446,10.1186/s12911-015-0148-4,Biomedical Informatics and Technology
1447,10.1093/ecco-jcc/jjv047,Immunity and Inflammation
1448,10.1523/jneurosci.3075-14.2015,Functional Neurosciences and Imaging
1449,10.1007/s00330-015-3832-y,Translational Physiology
1450,10.1183/09031936.00023215,Translational Physiology
1451,10.1016/j.ahj.2015.01.011,Cardiovascular
1452,10.1093/eurheartj/ehv195,Cardiovascular
1453,10.1038/icb.2015.57,Vaccines
1454,10.1016/j.jinf.2015.05.006,Vaccines
1455,10.1371/journal.ppat.1004914,Vaccines
1456,10.1016/j.jaci.2014.09.006,Immunity and Inflammation
1457,10.1007/s11934-015-0504-z,Surgical Innovation and Evaluation
1458,10.1016/j.eururo.2015.05.023,Surgical Innovation and Evaluation
1459,10.1177/2051415814553650,Surgical Innovation and Evaluation
1460,10.1016/j.urolonc.2014.12.011,Surgical Innovation and Evaluation
1461,10.1016/j.eururo.2015.04.036,Surgical Innovation and Evaluation
1462,10.1038/leu.2014.331,Blood
1463,10.1111/bcp.12543,Biomedical Informatics and Technology
1464,10.1136/annrheumdis-2013-204343,Immunity and Inflammation
1465,10.1002/mds.26134,Functional Neurosciences and Imaging
1466,10.1007/s00125-015-3598-4,Diabetes
1467,10.3109/10428194.2015.1122783,Molecular Diagnostics
1468,10.1016/s0140-6736(15)60027-7,Molecular Diagnostics
1469,10.1002/mrm.25317,Functional Neurosciences and Imaging
1470,10.1136/emermed-2014-204221.8,Blood
1471,10.1016/j.tracli.2015.04.001,Blood
1472,10.1002/14651858.cd010801.pub2,Blood
1473,10.1016/j.concog.2015.02.017,Cognitive Health
1474,10.1093/europace/euv021,Prevention and Population Care
1475,10.1093/jncimonographs/lgv011,Cancer
1476,10.1093/ndt/gfv181.06,Biomedical Informatics and Technology
1478,10.1111/hdi.12306,Biomedical Informatics and Technology
1479,10.1109/jbhi.2014.2338351,Biomedical Informatics and Technology
1480,10.1001/jama.2015.3536,Biomedical Informatics and Technology
1481,10.1097/qad.0000000000000621,Immunity and Inflammation
1482,10.1136/gutjnl-2015-309598,Immunity and Inflammation
1483,10.1038/ncomms8146,Immunity and Inflammation
1484,10.1212/WNL.0000000000001606,Dementia and Cerebrovascular Disease
1485,10.1016/S0140-6736(15)60692-4,Prevention and Population Care
1486,10.1016/j.jocn.2015.04.005,Functional Neurosciences and Imaging
1487,10.1016/j.ajo.2015.06.018,Surgical Innovation and Evaluation
1488,10.1016/j.ejrad.2015.06.025,Translational Physiology
1489,10.1093/eurheartj/ehv120,Cardiovascular
1490,10.1016/j.neuroimage.2015.02.026,"Cardiovascular, Translational Physiology"
1491,10.1093/jac/dkv021,Infection
1492,10.1016/j.jinf.2015.04.021,Vaccines
1493,10.1098/rstb.2014.0341,Vaccines
1494,10.1371/journal.pntd.0003837,Vaccines
1495,10.1136/bmjopen-2014-007481,Vaccines
1496,10.1371/journal.pone.0129555,Vaccines
1497,10.1097/xeb.0000000000000048,Vaccines
1498,10.1162/jocn_a_00838,Cognitive Health
1499,10.1037/xhp0000052,Cognitive Health
1500,10.1016/j.urolonc.2014.08.007,Surgical Innovation and Evaluation
1501,10.1002/14651858.cd005341.pub3,Blood
1502,10.1128/jvi.03627-14,Vaccines
1503,10.1136/thoraxjnl-2014-206688,Translational Physiology
1504,10.1016/j.ophtha.2014.12.036,Surgical Innovation and Evaluation
1505,10.3109/02688697.2014.997670,Functional Neurosciences and Imaging
1506,10.3233/jpd-140523,Functional Neurosciences and Imaging
1507,10.1097/ogx.0000000000000284,Genomic Medicine
1508,10.1002/hbm.22778,Cognitive Health
1509,10.1161/strokeaha.115.009065,Dementia and Cerebrovascular Disease
1510,10.7748/ns.2018.e11098,Blood
1511,10.1093/hmg/ddv235,Blood
1512,10.1111/bjh.13563,Blood
1513,10.1002/ijc.29327,Cancer
1514,10.1093/carcin/bgv053,Cancer
1515,10.1016/j.jcmg.2015.02.014,Prevention and Population Care
1516,10.1192/bjp.bp.114.152082,Prevention and Population Care
1517,10.1159/000370112,Immunity and Inflammation
1518,10.1111/hex.12376,Prevention and Population Care
1519,10.1111/dme.12828,Diabetes
1520,10.1371/journal.ppat.1004954,Immunity and Inflammation
1521,10.1042/bj20150192,Immunity and Inflammation
1522,10.1111/jvh.12428,Immunity and Inflammation
1523,10.1186/s12911-015-0171-5,Biomedical Informatics and Technology
1524,10.1136/gutjnl-2014-308724,Immunity and Inflammation
1525,10.1016/j.atherosclerosis.2015.04.086,Prevention and Population Care
1526,10.1016/j.clim.2015.05.020,Immunity and Inflammation
1527,10.1136/annrheumdis-2014-206996,Immunity and Inflammation
1528,10.1016/s1473-3099(15)00068-7,Vaccines
1529,10.1073/pnas.1506960112,Surgical Innovation and Evaluation
1530,10.1111/bjh.13619,Blood
1531,10.1002/14651858.cd007614.pub2,Blood
1532,10.1111/bjh.13620,Blood
1533,10.1016/s2213-8587(15)00127-8,"Diabetes, Genomic Medicine"
1534,10.1371/journal.pgen.1005230,"Diabetes, Genomic Medicine"
1535,10.1038/jid.2015.63,Immunity and Inflammation
1536,10.1097/md.0000000000001134,Immunity and Inflammation
1537,10.1371/journal.pone.0131833,"Cancer, Surgical Innovation and Evaluation"
1538,10.1186/s13643-015-0081-8,Biomedical Informatics and Technology
1539,10.1136/bmjopen-2014-007376,Biomedical Informatics and Technology
1540,10.1186/s12875-015-0289-7,Biomedical Informatics and Technology
1541,10.1016/s2215-0366(15)00182-0,Patient and Public Involvement
1542,10.3399/bjgp15x686461,Patient and Public Involvement
1543,10.1111/ner.12297,Functional Neurosciences and Imaging
1544,10.1016/j.ajhg.2015.05.002,Genomic Medicine
1545,10.1111/bjh.13380,Blood
1546,10.2337/dc14-2769,"Diabetes, Genomic Medicine"
1547,10.1002/bjs.9838,"Dementia and Cerebrovascular Disease, Prevention and Population Care"
1548,10.1016/j.amjcard.2015.03.052,Prevention and Population Care
1549,10.5665/sleep.4802,"Translational Physiology, Cognitive Health"
1550,10.4067/s0370-41062014000400004,Immunity and Inflammation
1551,10.1038/ncomms8545,Immunity and Inflammation
